start_date,start_time,weekday,ampm,start_navd_ft,stop_navd_ft,length_min,mins_sun,sun_perc
2018-11-07,06:45:00 EST,Wed,AM,-2.53,-2.39,105,100,95.24
2018-11-08,07:15:00 EST,Thu,AM,-2.55,-2.41,120,120,100
2018-11-09,08:00:00 EST,Fri,AM,-2.59,-2.46,105,105,100
2018-11-10,08:45:00 EST,Sat,AM,-2.53,-2.41,90,90,100
2018-11-22,06:15:00 EST,Thu,AM,-2.58,-2.49,120,73,60.83
2018-11-23,06:30:00 EST,Fri,AM,-2.52,-2.48,165,132,80
2018-11-24,07:15:00 EST,Sat,AM,-2.65,-2.36,180,180,100
2018-11-25,08:00:00 EST,Sun,AM,-2.66,-2.37,180,180,100
2018-11-26,08:45:00 EST,Mon,AM,-2.54,-2.48,165,165,100
2018-11-27,10:00:00 EST,Tue,AM,-2.55,-2.48,120,120,100
2018-12-05,05:45:00 EST,Wed,AM,-2.59,-2.44,120,32,26.67
2018-12-06,06:00:00 EST,Thu,AM,-2.52,-2.38,165,92,55.76
2018-12-07,06:45:00 EST,Fri,AM,-2.63,-2.34,165,136,82.42
2018-12-08,07:15:00 EST,Sat,AM,-2.55,-2.38,165,165,100
2018-12-09,08:00:00 EST,Sun,AM,-2.56,-2.49,135,135,100
2018-12-10,08:45:00 EST,Mon,AM,-2.52,-2.4,120,120,100
2018-12-11,10:00:00 EST,Tue,AM,-2.52,-2.46,45,45,100
2018-12-20,05:00:00 EST,Thu,AM,-2.52,-2.39,150,8,5.33
2018-12-21,05:30:00 EST,Fri,AM,-2.64,-2.32,195,82,42.05
2018-12-22,06:00:00 EST,Sat,AM,-2.63,-2.49,210,127,60.48
2018-12-23,06:45:00 EST,Sun,AM,-2.69,-2.34,225,186,82.67
2018-12-24,07:30:00 EST,Mon,AM,-2.64,-2.31,225,225,100
2018-12-25,08:30:00 EST,Tue,AM,-2.68,-2.4,195,195,100
2018-12-26,09:30:00 EST,Wed,AM,-2.57,-2.36,165,165,100
2018-12-27,11:15:00 EST,Thu,AM,-2.54,-2.49,45,45,100
2019-01-02,05:00:00 EST,Wed,AM,-2.52,-2.43,90,0,0
2019-01-03,05:15:00 EST,Thu,AM,-2.55,-2.44,150,18,12
2019-01-04,05:45:00 EST,Fri,AM,-2.55,-2.35,180,78,43.33
2019-01-05,06:15:00 EST,Sat,AM,-2.5,-2.45,180,107,59.44
2019-01-06,07:00:00 EST,Sun,AM,-2.58,-2.47,165,137,83.03
2019-01-07,07:45:00 EST,Mon,AM,-2.62,-2.42,150,150,100
2019-01-08,08:15:00 EST,Tue,AM,-2.53,-2.47,135,135,100
2019-01-09,09:00:00 EST,Wed,AM,-2.51,-2.47,105,105,100
2019-01-10,10:15:00 EST,Thu,AM,-2.5,-2.5,15,15,100
2019-01-17,04:15:00 EST,Thu,AM,-2.5,-2.5,75,0,0
2019-01-18,04:30:00 EST,Fri,AM,-2.6,-2.43,180,3,1.67
2019-01-19,05:00:00 EST,Sat,AM,-2.63,-2.39,225,78,34.67
2019-01-20,05:30:00 EST,Sun,AM,-2.5,-2.33,255,138,54.12
2019-01-21,06:30:00 EST,Mon,AM,-2.73,-2.35,240,183,76.25
2019-01-22,07:15:00 EST,Tue,AM,-2.64,-2.46,225,214,95.11
2019-01-23,08:15:00 EST,Wed,AM,-2.68,-2.43,195,195,100
